no,source_provider,source_clip_id,semantic_unit_id,pose_id,pose_description,action_name_proposed_ko,action_name_proposed_en,confidence,visual_evidence,ambiguity,decision,action_name_final,reviewer_notes
22,CMU,cmu:121_17,pose:cmu_121_17_00372,cmu_121_17_00372,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한발 균형 잡으며 다리 앞으로 뻗기,one-leg balance with leg extended forward,high,한발로 서고 다른 다리를 앞으로 곧게 뻗으며 한팔도 전방으로 듦,킥·체조·춤 중 실제 의도 불명,,,
23,CMU,cmu:121_25,pose:cmu_121_25_01201,cmu_121_25_01201,"정적 자세 특징: 상체를 뒤로 젖힘, 양팔을 넓게 벌림, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한쪽 무릎 들고 균형 잡기,balancing with one knee raised,high,한발로 지지하며 반대 무릎을 옆으로 높게 들고 양팔을 굽힘,춤·체조 중 실제 의도 불명,,,
24,CMU,cmu:121_28,pose:cmu_121_28_00572_ground,cmu_121_28_00572_ground,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠",옆으로 누워 한쪽 다리 들기,side-lying leg raise,high,옆으로 누운 채 한쪽 다리를 위로 곧게 들어 올림,운동·춤·넘어짐 중 맥락 불명,,,
25,CMU,cmu:121_29,pose:cmu_121_29_00190_ground,cmu_121_29_00190_ground,"정적 자세 특징: 상체를 뒤로 젖힘, 팔꿈치를 폄, 한쪽 다리를 듦",서서 깊게 허리 숙이기,deep standing forward bend,high,서서 상체를 거의 수평 아래로 숙이고 양팔을 내림,스트레칭·물건 집기·춤 중 의도 불명,,,
27,CMU,cmu:122_11,pose:cmu_122_11_00096,cmu_122_11_00096,"정적 자세 특징: 상체를 세움, 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠",긴 보폭으로 내딛기,taking a long step,high,CMU subject 122 공식 문맥은 varying height and length steps이며 양팔을 앞으로 뻗고 긴 스텝 자세,보폭 높이와 방향은 불명,,,
28,CMU,cmu:63_04,pose:cmu_63_04_00333,cmu_63_04_00333,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦",골프 백스윙,golf backswing,high,CMU subject 63 공식 문맥은 golf이며 양손을 머리 위 뒤쪽으로 모음,클럽은 스켈레톤에 없지만 source 문맥으로 확인,,,
29,CMU,cmu:63_21,pose:cmu_63_21_00312_ground,cmu_63_21_00312_ground,"정적 자세 특징: 상체를 뒤로 젖힘, 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠",골프 어드레스,golf address stance,high,CMU subject 63 공식 문맥은 golf이며 상체를 숙이고 양손을 아래로 모으는 준비 자세,퍼팅과 일반 스윙 준비 자세의 세부 구분은 불명,,,
31,CMU,cmu:94_04,pose:cmu_94_04_00299,cmu_94_04_00299,"정적 자세 특징: 상체를 세움, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",인도 전통 춤 - 한발 균형,Indian dance one-leg balance,high,CMU subject 94 공식 문맥은 indian dance이며 한발을 들고 양팔을 비대칭으로 뻗음,구체적인 춤 양식과 동작명은 불명,,,
32,CMU,cmu:94_09,pose:cmu_94_09_00946,cmu_94_09_00946,"정적 자세 특징: 상체를 세움, 한쪽 발을 골반 뒤에 둠",인도 전통 춤 - 무릎 굽힌 동작,Indian dance bent-knee pose,high,CMU subject 94 공식 문맥은 indian dance이며 무릎을 굽히고 양팔을 벌림,구체적인 춤 양식과 동작명은 불명,,,
33,CMU,cmu:94_13,pose:cmu_94_13_00950,cmu_94_13_00950,"정적 자세 특징: 상체를 세움, 한쪽 팔을 어깨 위로 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",인도 전통 춤 - 한팔 올린 스텝,Indian dance step with one arm raised,high,CMU subject 94 공식 문맥은 indian dance이며 한팔을 위로 들고 보행 스텝을 취함,구체적인 춤 양식과 동작명은 불명,,,
34,CMU,cmu:94_14,pose:cmu_94_14_00998,cmu_94_14_00998,"정적 자세 특징: 상체를 세움, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦",인도 전통 춤 - 한발 들기,Indian dance one-leg raised pose,high,CMU subject 94 공식 문맥은 indian dance이며 한팔과 한쪽 다리를 들어 균형을 잡음,구체적인 춤 양식과 동작명은 불명,,,
35,CMU,cmu:94_15,pose:cmu_94_15_00315,cmu_94_15_00315,"정적 자세 특징: 상체를 세움, 두 발을 넓게 벌림",인도 전통 춤 - 팔 벌린 교차 스텝,Indian dance cross-step with arms open,high,CMU subject 94 공식 문맥은 indian dance이며 다리를 교차하고 양팔을 넓게 벌림,구체적인 춤 양식과 동작명은 불명,,,
